classname,post-release-bugs,pre-release-bugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
com::sleepycat::db::DbHandleExtractor,0,0,1,0,0,1,1,1,1,1,1,1,194.143,0,0,1,0,0,3,0,0,0,8,3,9,0,1,0,2,3,3,1.43177,0.0129918,0.00146826,0.0312605,9.22E-06
lucli::LuceneMethods,0,0,4,2,0,2,4,1,1,4,1,1,251.857,30.8571,21,1,1,20,78,0,8,0,232,13,9,8,5,0,8,147,48,1.43177,0.0259836,0.00146826,0.0312605,9.22E-06
lucli::Lucli,0,0,4,2,0,2,4,1,1,4,1,1,251.857,17.8571,12,1,0,12,78,0,19,0,188,13,9,0,11,4,2,80,40,1.43177,0.0129918,0.00146826,0.0312605,9.22E-06
org::apache::lucene::LucenePackage,0,0,3,0,0,3,7,6,2.33333,6,5,2,186.571,74.3265,1,1,0,1,1,0,0,0,4,2,9,0,1,0,1,3,2,2.52013,0.00852783,0.00418069,0.0611694,0.00117101
org::apache::lucene::analysis::Analyzer,1,2,11,1,0,8,78,28,7.09091,88,51,8,368.143,237.31,50,1,50,0,15,33,1,0,12,6,9,1,0,0,4,9,4,7.3729,0.0854729,0.0176392,0.194196,0.0254562
org::apache::lucene::analysis::CachingTokenFilter,1,3,4,0,0,2,90,72,22.5,85,72,21.25,75.4286,51.7698,7,3,6,1,6,0,2,1,30,4,16,2,1,0,3,14,8,4.85274,0.0507359,0.0496314,0.208631,0.154835
org::apache::lucene::analysis::CharArraySet,1,4,5,1,0,2,219,206,43.8,80,68,16,60.7143,14.4279,5,1,1,4,45,0,4,0,98,10,0,4,4,0,6,34,32,4.10964,0.196315,0.0171903,0.129112,0.0424604
org::apache::lucene::analysis::CharTokenizer,1,3,10,0,0,6,84,27,8.4,107,51,10.7,349.857,198.361,3,3,1,2,10,3,6,1,55,5,16,6,0,0,3,15,13,5.46076,0.0423946,0.0445186,0.210853,0.12351
org::apache::lucene::analysis::ISOLatin1AccentFilter,0,0,5,1,0,2,175,170,35,178,170,35.6,183.286,0.0604082,4,3,2,2,3,0,2,1,216,3,16,2,0,0,3,8,44,1.97962,0.383604,0.00218663,0.043934,2.58E-05
org::apache::lucene::analysis::KeywordAnalyzer,0,0,5,1,0,2,4,2,0.8,23,20,4.6,191.143,7.82143,6,2,4,2,3,0,0,0,12,3,15,0,0,0,3,8,3,3.22194,0.0988745,0.00348845,0.0711839,3.65E-05
